set_number,set_title,term,meaning,mnemonic,part_of_speech,example,synonyms
2,Set 02,Ambivalent,দ্বিধান্বিত,AM (আম) জনতার মত Bi (দুই পক্ষে) বিভক্ত,,Apu Biswas remained ambivalent about disclosing her marriage news.,"equivocal, doubtful, irresolute, fluctuating, confused, muddled, vague, hazy, iffy"
2,Set 02,Ameliorate,খারাপ কিছুকে ভালো করা,আমজনতাকে Literate বানানো,,Foreign aid is needed to ameliorate the effects of the inflation.,"amend, refine, mitigate, rectify, remedy, fix, square, tweak"
2,Set 02,Amenable,যাকে সহজেই বিশ্বাস করানো যায়,আমিন অর্থ বিশ্বাসী,,I found him amenable to argument.,"compliant, acquiescent, biddable, manageable, tractable, pliant, malleable, complaisant, docile, tame, meek"
2,Set 02,Audacious,দুঃসাহসী / দুর্বিনীত,Audi গাড়ি চালায় ওভারস্পিডে,,His plan of going to the USA is an audacious decision.,"intrepid, valiant, plucky, dynamic, spirited, mettlesome, spunky, venturous, temerarious"
2,Set 02,Anachronistic,"কালবৈষম্য [যখন যেটা হওয়ার কথা না, তখন সেটা করা]",A [না] Chronic [ক্রমানুসারে],,Bangladeshi university curriculums are anachronistic.,
2,Set 02,Avaricious,প্রচুর লোভী,AVAR (আবারও) RICh হতে চায়,,P K Halder is avaricious of money.,"acquisitive, covetous, greedy, rapacious, mercenary, materialistic, mean, grabby"
2,Set 02,Banal,গতানুগতিক / বিরক্তিকর,BAN ALL the songs that are BANAL,,Tahsan's songs have become banal nowadays.,"trite, hackneyed, platitudinous, vapid, commonplace, humdrum"
2,Set 02,Benign,দয়ালু (পরিবেশের জন্য) / অক্ষতিকর,বিনয়ী,,Is the tumour malignant or benign?,"clement, salubrious, propitious, auspicious, amiable, congenial, cordial, tender, benevolent, indulgent, benignant"
2,Set 02,Brazen,সপ্রতিভ / নির্লজ্জ,ব্রাজিল ফ্যানদের মত Bold & Shameless,,Will Smith tolerated his wife's brazen love affairs.,"presumptuous, impudent, insolent, impertinent, pert, blatant, flagrant"
2,Set 02,Calumny,দুর্নাম,"Alumni এর উল্টা [সুনাম না, দুর্নাম করে]",,Calumny requires no proof.,"slander, muckraking, aspersions, vilification, traducement, obloquy, vituperation, revilement, scurrility, insults, libel, denigration, defamation"
2,Set 02,Candid,অকপট / হুটহাট / ভণিতাহীন,he DID what he CAN,,Let me see the professor's candid reply.,"frank, outspoken, unvarnished"
2,Set 02,Castigate,কাউকে ভয়ানক বকা / শাস্তি দেওয়া,CASTe system (বর্ণপ্রথা) I hATE,,Dr. Sayeed Ferdous never lost any scope to castigate colonialism.,"reprimand, rebuke, admonish, chastise, chide, upbraid, reproach, berate, lambaste, criticize, censure, punish, discipline, chasten, reprehend, objurgate"
2,Set 02,Caustic,ব্যাঙ্গাত্মক / দগ্ধকারক (Sarcastic / Chemical),কষ্টকর যা - পুড়ায় / জ্বালায়,,Kanhaiya Kumar's speech was a caustic attack on the government policy.,"sarcastic, mordant, bitter, scathing, sardonic, trenchant, acerbic, vitriolic, pungent, acrimonious, polemic, virulent, waspish"
2,Set 02,Construe,ব্যাখ্যা করা / Decoding Something,CONcentrate to the TRUE message,,Construe what Dr. Manosh Chowdhury said in the class.,"parse, render, elucidate"
2,Set 02,Contrite,অনুতপ্ত,CAN'T be right,,Her expression was contrite.,"remorseful, repentant, penitent, apologetic, rueful, ashamed, chastened, compunctious"
2,Set 02,Convoluted,জটিল (অতি দীর্ঘায়িত),COmplex like breaking a Vault,,His argument was convoluted.,"complicated, intricate, elaborate, impenetrable, tortuous, tangled, bewildering, baffling, perplexing"
2,Set 02,Covet,লোভ করা,Covid এর মত সর্বগ্রাসী,,"All covet, all lose.",
2,Set 02,Craven,ভীতু,bRAVE n = not [Not Brave],,Squadron Leader Abdullah Adnan has no craven fear of flying.,"cowardly, timid, timorous, fearful, quaking, cowering, weak, feeble, wimpish, wimpy, recreant"
2,Set 02,Decorum,শিষ্টাচার / ভদ্রতা,DECOR sUM (Something),,BANMUN needs decorum.,"propriety, decency, good taste, politeness, courtesy, breeding, deportment, modesty"
2,Set 02,Deft,সুনিপুণ / পারদর্শী,D (The) English For Today এর মত ভাল পারা,,Sachin Tendulkar's shots were deft.,"adroit, dexterous, nimble, proficient, shrewd, astute, canny, artful"
2,Set 02,Demur,আপত্তি জানানো,DaMn U R (Damn you are wrong) / ডুমুর খেতে আপত্তি করা,,Shakib Khan demurred with the idea.,"cavil, dissent, balk"
2,Set 02,Derivative,পরিবর্তিত কিছু / অমৌলিক,Direct Alternative (পাল্টানো),,French is a derivative of Latin.,"imitative, trite, hackneyed, banal"
2,Set 02,Desiccate,শুকানো / অনার্দ্র করা,DESI CAT [দেশি বিড়াল পানি খেতে না পেয়ে শুকিয়ে কাঠ],,Aam papad (আমসত্ত্ব) needs to be desiccated.,
2,Set 02,Diatribe,ভৎর্সনা / গালাগালি / বাদানুবাদ,Dual Tribe Fight (গালির প্রতিযোগিতা),,They launched into a long diatribe.,"tirade, harangue, reprimand, admonishment, vituperation, castigation, criticism, abuse"
2,Set 02,Incredulous,অবিশ্বাস্য,IN (না) CREDible (বিশ্বাসযোগ্য),,His crush saw him with an incredulous look.,"dubious, cynical, sceptical, wary, doubtful"
2,Set 02,Ingenuous,নিষ্পাপ / সন্দেহের ঊর্ধ্বে,INnocent GENuine,,Md Abubokor Siddique is ingenuous in nature.,"candid, unsophisticated, artless, genuine"
3,Set 03,Abate,খারাপ কোনকিছুর প্রভাব কমানো,AB (আইয়ুব বাচ্চু) ATE,,The debate didn't let abate the issue of Will Smith.,"alleviate, mitigate, mollify, assuage, palliate, appease, attenuate, slake"
3,Set 03,Abjure,হাল ছেড়ে দেওয়া / বিশ্বাস পরিবর্তন করা,Injure হলে Abjure করতে হয়,,"After his son's injury, he abjured on the safety claim of Tesla.","relinquish, abandon, gainsay, disclaim, repudiate, abnegate, eschew, forsake, recant, swear off"
3,Set 03,Anomalous,ব্যতিক্রম,AbNOrMAL standard,,The average of the students' marks is anomalous due to the abnormal inputs.,"aberrant, peculiar, incongruous, deviant, divergent, eccentric"
3,Set 03,Antipathy,বিদ্বেষ,Sympathy এর উল্টা Antipathy,,"No sympathy, only antipathy was left in Trump's mind.","animosity, aversion, animus, enmity, abhorrence, loathing, repugnance"
3,Set 03,Arcane,রহস্যময়,WWE এর CANE এর ফেইস Mysterious মুখোস এর জন্য,,The arcane of Cane made our childhood interesting.,"covert, clandestine, enigmatic, esoteric, abstruse, recondite, inscrutable, impenetrable, opaque"
3,Set 03,Arduous,শ্রমসাধ্য / কষ্টলব্ধ,hARD to DO for US,,Pulling off the presentation was very hard for us.,"onerous, taxing, laborious, strenuous, vigorous, Herculean, formidable, exhausting, grueling"
3,Set 03,Artless,ভণিতাহীন / সহজ-স্বাভাবিক,Without Art (anything made up),,Her grief was so truly artless.,"modest, ingenuous, guileless, candid"
3,Set 03,Ascetic,সাধু,Discount ASthETIC,,The monks lived a very ascetic life.,"austere, abstemious, frugal, rigorous, spartan, monkish, chaste, puritan"
3,Set 03,Assuage,খারাপ কোন অনুভূতি কমানো,ASS UsAGE,,Nothing could assuage his guilt.,"alleviate, mitigate, palliate, abate, tranquillize, mollify, moderate, attenuate, diminish, quench, pacify"
3,Set 03,Betray,প্রতারণা / প্রকাশ,BE on the ash TRAY / porTRAY,,I won't betray the confidential papers to betray the organization.,"reveal, uncover, unmask, expose, discover, deceive"
3,Set 03,Bucolic,গ্রাম্য / রাখালী,BUll's LIck,,The painting shows a bucolic scene of peasants.,"rustic, pastoral, countryside, agricultural, agrarian, outdoor, idyllic, arcadian, provincial"
3,Set 03,Burgeon,বাড়া / প্রস্ফুটিত হওয়া,Burger খেয়ে পেট বাড়ো অর জিও / বুর্জোয়ার সম্পদ বৃদ্ধি,,Love burgeoned between them.,"proliferate, escalate, flourish, thrive, prosper"
3,Set 03,Cacophonous,তীক্ষ্ণ / কর্কশ শব্দ,ক্যাঁ ক্যাঁ করা ফোন,,Dhaka is too cacophonous for a meaningful conversation.,"thunderous, raucous, dissonant, inharmonious, strident, grating, jarring"
3,Set 03,Canonize,মৃত্যুর পর কাউকে সাধু হিসেবে ঘোষণা করা / দেবতুল্য করা,সম্মানিত কেউ মারা গেলে Canon দাগানো হয়,,Joan of Arc was canonized by the Roman Catholic Church in 1920.,"deify, glorify, sacred, lionize, aggrandize"
3,Set 03,Censure,চরম আপত্তি জানানো / কঠোর সমালোচনা করা,CENSoR বোর্ড ছাড়পত্র SURE না করা,,You must not censure him until you know the whole story.,"castigate, chastise, lambast, reprimand"
3,Set 03,Chicanery,ছলচাতুরি,CHICago এর নারী,,The Indian outsourced call center is depending on chicanery.,"subterfuge, guile, skulduggery, hoodwinking, artfulness, improbity"
3,Set 03,Coalesce,যুক্ত করা,Coal LaCE,,Coalesce your actions with plans.,"amalgamate, consolidate, synthesize"
3,Set 03,Cogent,অকাট্য যুক্তি / কথা,CO (কঠিন) aGENT,,The lawyer's cogent arguments convince the jury.,"plausible, eloquent, credible, lucid, coherent, articulate"
3,Set 03,Compelling,বাধ্যতামূলক / জোরপূর্বক / মোহনীয়,COMmunicate with yeLLING,,His eyes were strangely compelling.,"enthralling, riveting, entrancing, hypnotic, absorbing, attracting, irresistible, convincing"
3,Set 03,Contend,প্রতিযোগিতা করা / যুক্তি দেওয়া / বিরোধিতা করা,COmpetition END,,It is time to contend with racism.,"profess, aver, avow, plead, claim"
3,Set 03,Copious,প্রচুর,US (আমাদের) এর খাতা COPy করে অনেক নম্বর পাওয়া,,They drank copious amount of water.,"abundant, profuse, lavish, bountiful, abounding, manifold, galore, myriad, bounteous"
3,Set 03,Cosmopolitan,বিশ্বজনীন শহর / গাছ,কসমস বিস্কুটের মত সবজায়গায় পাওয়া যায়,,Dhaka has a cosmopolitan atmosphere.,"suave, urbane, refined, sophisticated, universal, global, ubiquitous"
3,Set 03,Deference,সম্মান,Desired toward Reference,,His deference toward his professor will be considered as a reference.,"reverence, veneration, awe, submission, obeisance"
3,Set 03,Desultory,উদ্দেশ্যহীন / ভবঘুরে / অসংলগ্ন,দেশান্তরী,,She made a desultory attempt at conversation.,"cursory, superficial, perfunctory, haphazard, random, automatic, capricious, mechanical, chaotic, sporadic, fitful"
3,Set 03,Diffident,আত্মবিশ্বাসহীন,DIFFIcult to be confiDENT,,Don't be so diffident about your talents.,"bashful, meek, unassertive, timid, wary, reticent"
3,Set 03,Dilatory,ধীর,ঢিলা লোক / DeLaY করে যে তরী,,The boss sacked a dilatory employee yesterday.,"tardy, lax, indolent, loitering, lingering, dawdling, sluggish, tarrying, poky"
3,Set 03,Equivocate,অস্পষ্টতার মাধ্যমে সত্য গোপন করা / হ্যাঁ-না এর মাঝামাঝি বলা,EQUAl VOCAl,,Nahid immediately began to equivocate.,"prevaricate, hedge, vacillate, cavil, quibble, waffle, ambiguous"
3,Set 03,Polarize,ভাগ করা,Poling করা,,Public opinion has polarized on this issue.,
3,Set 03,Prodigal,অপচয়,PRO among Di (the) GALs,,The prodigal son had returned.,"extravagant, spendthrift, imprudent, profligate, wanton, generous, lavish, copious, profuse"
3,Set 03,Verbose,প্রয়োজনের অতিরিক্ত শব্দব্যয়,VERbal BOss,,Legal writing is often unclear and verbose.,"loquacious, garrulous, voluble, effusive, prolix, circumlocutory, tautological, redundant, tortuous, convoluted, diffuse, meandering"
4,Set 04,Abstain,বিরত থাকা,Avoid STAIN,,Abstain from smoking.,"desist, forbear, renounce, shun, eschew, abandon, abjure"
4,Set 04,Approbation,অনুমোদন / প্রশংসা,APproval from PROBATION,,The manager surveyed her report with approbation.,"adulation, veneration, accolades, plaudits, laudation, revere"
4,Set 04,Cherish,লালন করা,CHERy এর মত লালন করা,,I will cherish all the memories of us together!,"revere, admire, protect, nurture"
4,Set 04,Corroborate,প্রমাণ দিয়ে সমর্থন করা,CORporates collaBORATE,,Corporates seem to corroborate with each other.,"endorse, validate, sustain, bolster, reinforce"
4,Set 04,Disparate,অসম,DIS (this) is sePARATE,,Water and oil are disparate substances.,"contrasting, heterogeneous, distinct, disparity"
4,Set 04,Emulate,অনুকরণ করে ছাড়িয়ে যাওয়া,EMU is always LATE,,Children are traditionally expected to emulate their parents.,"imitate, reproduce, mimic, equal, parallel, surpass"
4,Set 04,Enervate,দুর্বল করা,ENERgy ATE,,The sun enervated her to the point of collapse.,"exhaust, fatigue, weary, sap, enfeeble, poop, torpefy, torrefy"
4,Set 04,Ephemeral,ক্ষণস্থায়ী,E-funERAL,,Himesh Reshammiya's success as a popular singer was ephemeral.,"transitory, transient, cursory, evanescent, fugitive, fugacious, deciduous"
4,Set 04,Fervid,উদ্দীপ্ত / Enthusiast,khalid FERhan's VIDeo,,Khalid Farhan is a fervid orator.,"fervent, ardent, passionate, vehement, avid, alacrity, vivid"
4,Set 04,Garrulous,বাঁচাল,GiRls RULe US,,My garrulous neighbor had given away the secret.,"loquacious, voluble, verbose, jabbering, effusive, prolix"
4,Set 04,Incendiary,আগুনে ঘি ঢালা (উসকানি) / অগ্নিসংযোগকারী,INsane sets fire on DIARY,,Firemen found more than 10 incendiary devices.,"agitator, firebrand, troublemaker, revolutionary, insurgent, subversive, instigator, inciting, inflammatory"
4,Set 04,Inimical,শত্রুভাবাপন্ন,Opposite of amicable / Enemy,,Lack of ambition is inimical to success.,"antagonistic, unsympathetic, malevolent, detrimental, deleterious, pernicious, prejudicial, malefic"
4,Set 04,Intimate,অন্তরঙ্গ / ঘনিষ্ঠ / ঘনিষ্ঠ হওয়া,IN with MATE,,An intimate friendship grew up between them.,"cherished, constant, devoted, favourite"
4,Set 04,Invigorate,উজ্জীবিত করা,IN VIGOR (শক্তি) ATE (খাওয়া),,Take a deep breath to invigorate you.,"revitalize, revive, vivify, rejuvenate, galvanize"
4,Set 04,Mitigate,প্রশমিত করা,মিটিয়ে ফেলা,,Try to mitigate the environmental effects of burning coal.,"alleviate, attenuate, assuage, appease, moderate, abate, pacify, placate, mollify, tranquillize"
4,Set 04,Obsolete,অচল,Obviously it's so late,,Will computers render books obsolete?,"antique, archaic, defunct"
4,Set 04,Opaque,অস্বচ্ছ / দুর্বোধ্য,Opposite of Aqua,,The jargon in his talk was opaque to me.,"perplexing, enigmatic, equivocal, cryptic, abstruse, recondite, arcane, esoteric"
4,Set 04,Paradigmatic,উদাহরণ দেওয়া / দৃষ্টান্তমূলক,Conventional / Standard এর Typical Example দিয়ে প্যারা দিস না,,Their great academic success was considered as paradigmatic.,"conventional, standard, exemplary, model"
4,Set 04,Pedantic,সূক্ষ্ম ভুল বেশি ধরা,পন্ডিতের মত Pathetic,,His evaluation was so pedantic.,"scrupulous, precisionist, punctilious, meticulous, fastidious, dogmatic, cerebral, didactic, incisive"
4,Set 04,Placid,শান্ত-শিষ্ট,PLAce your ID calmly,,A placid kid makes a placid home.,"equable, tranquil, imperturbable, serene"
4,Set 04,Polemical,বিতর্কিত,Political Chemical,,It is easy to be polemical about communism.,"vitriolic, waspish, trenchant, acerbic, sardonic, scathing, pungent, acidulous, virulent, diatribe"
4,Set 04,Precipitate,চিন্তা করার আগেই কিছু একটা করে ফেলা,PRE + antiCIPATE,,Kim Jong-un is too precipitate in declaring war.,"impetuous, imprudent, temerarious, expedite, instigate, rush, hasty"
4,Set 04,Profundity,গভীর জ্ঞান,PROচুর জ্ঞান থাকলে FUND পাওয়া যায়,,He lacked profundity and analytical precision.,"sagacity, acuity, profoundness, perceptiveness"
4,Set 04,Prophetic,সঠিকভাবে পূর্বানুমান,Prophet-দের বাণী,,Her early achievements were prophetic of her future greatness.,"prescient, predictive, prophetical, prognostic, divinatory, oracular"
4,Set 04,Prudent,বিচক্ষণ / সতর্ক,Pepsodent takes care of our teeth,,Raising the oil price was not a prudent idea.,"sagacious, circumspect, astute, canny, perspicacious"
4,Set 04,Punctilious,খুঁতখুঁতে,Don't forget the punctuations,,The judge was very punctilious.,"meticulous, scrupulous, painstaking, fastidious, finical, pedantic, laborious, sedulous, didactic"
4,Set 04,Recondite,দুর্বোধ্য,দুর্বোধ্য ছিল দেখে ক্লাস RE-CONDuct করতে হবে,,Her poems are recondite in subject-matter.,"abstruse, arcane, esoteric, abstract, unfathomable, opaque"
4,Set 04,Scrupulous,সূক্ষ্ম বিষয়ের প্রতি যত্নশীল / অত্যন্ত নৈতিক / খুঁতখুঁতে,সূক্ষ্ম Sculpture বানানো,,This job requires scrupulous attention to detail.,"meticulous, painstaking, assiduous, punctilious, religious, pedantic, virtuous"
4,Set 04,Tranquil,প্রশান্ত,TRANQUILizer দিয়ে প্রাণীদের শান্ত করা হয়,,The tranquil beauty of the village scenery is unique.,"reposeful, serene, placid, idyllic, stoical, pacific"
4,Set 04,Vacillate,ইতস্তত করা / সিদ্ধান্তহীনতায় ভুগা,VACcine LATE,,Don't vacillate about asking for assistance.,"dither, irresolute, tentative, dithering, ambivalent"
5,Set 05,Aloof,অবন্ধুবৎসল / Unfriendly,ALOne on the roOF,,He stayed aloof from the office gossip.,"austere, haughty, supercilious, disdainful, not forthcoming, detached, distant, apart"
5,Set 05,Clangor,একটানা ঝনঝনে আওয়াজ,sounds like bang,,The clangor of the factory machines filled the hall.,
5,Set 05,Conventional,প্রচলিত / গোঁড়া,CON (খারাপ চর্চা থেকে) VENT (বের হওয়া) NAL (না),,They chose a conventional wedding over an unusual one.,"orthodox, decorous, suburban, parochial, stodgy, traditional, conformist, normal, ordinary"
5,Set 05,Debunk,Expose করা,"BUNKed the class, and got exposed by friends",,The scientist set out to debunk the popular myth.,"deflate, quash, controvert, confute, negate, challenge, refute, betray"
5,Set 05,Diminutive,ছোট্ট,di (the) MINUTive,,A diminutive puppy hid behind the sofa.,"compact, homuncular, miniature, trivial"
5,Set 05,Discernible,বুঝতে পারা / Noticeable / আলাদা করতে পারা,"যারা Concern, তারা করে Discern",,There was a discernible change in her tone.,"obvious, manifest, conspicuous, patent, evident, distinct"
5,Set 05,Enigmatic,রহস্যময়,A NIGht of MAgIC,,The professor gave an enigmatic smile and said nothing.,"perplexing, bewildering, inscrutable, equivocal, paradoxical, oblique, arcane, abstruse, recondite, esoteric"
5,Set 05,Estrange,বিচ্ছিন্ন / সম্পর্ক ভালো না থাকা,our relation with a STRANGEr,,The argument estranged the two old friends.,"alienate, antagonize, hostile, unfriendly"
5,Set 05,Extravagant,অসংযত / অপব্যয়কারী,EXTRA ভাগ GrANT করে টাকা উড়ানো,,They threw an extravagant party for the launch.,"spendthrift, profligate, prodigal, squandering, imprudent, exorbitant, inordinate, ostentatious, licentious, dissolute"
5,Set 05,Fanciful,কল্পনাপ্রসূত,FULl of FANCY,,The child told a fanciful story about talking dragons.,"whimsical, capricious, quixotic, chimerical, extravagant, eccentric, baroque, unrealistic"
5,Set 05,Frivolous,ফালতু / অস্থিরচিত্ত / পাত্তা না দেওয়া,FRee courses are not taken as seriOUS,,The judge dismissed the frivolous lawsuit.,"waggish, facetious, superficial, frothy, trivial, peripheral, zany, whimsical"
5,Set 05,Heterogeneous,ভিন্নধর্মী,হাতের Genus [গণ],,The city has a heterogeneous population.,"sundry, variegated, motley, alloyed"
5,Set 05,Imperious,কর্তৃত্বপূর্ণ,Imperial মনোভাব,,The manager's imperious tone annoyed the staff.,"peremptory, authoritarian, lordly, officious"
5,Set 05,Impertinent,শিষ্টাচারহীন,IMProper teNaNT,,His impertinent reply angered the teacher.,"insolent, impudent, audacious, brazen, presumptuous, pert, sassy"
5,Set 05,Invasive,যা দ্রুত ছড়ায়,Massive এর মতন,,The invasive weed spread across the whole garden.,encroaching
5,Set 05,Irresolute,অনিশ্চিত,not knowing how to RESOLUTE,,She remained irresolute about which job to accept.,"tentative, vacillating, equivocating, dithering, fluctuating, ambivalent, iffy"
5,Set 05,Laudable,প্রশংসাযোগ্য,LoUD প্রশংসা ABLE,,Volunteering after class is a laudable habit.,"praiseworthy, admirable, meritorious, sterling"
5,Set 05,Lax,শিথিল,reLAX & careless,,The lax security allowed the thief to slip in.,"slipshod, heedless, slapdash, permissive, indulgent, limp"
5,Set 05,Marginalize,অগুরুত্বপূর্ণ করা / কোণঠাসা করা,Margin এর কাছে Finalize করা,,The policy tends to marginalize rural communities.,
5,Set 05,Panache,স্বতন্ত্র ফ্যাশনধারী / কেতাদুরস্ত,PAN CAke,,She delivered the speech with great panache.,"flamboyance, zest, vivacity, pizzazz"
5,Set 05,Plodding,কঠিন ও ধীর গতির,slow LOaDing,,The report was thorough but plodding to read.,"wade, toil, slowish"
5,Set 05,Prosaic,গতানুগতিক / বস্তাপঁচা,mOSAIC এর মত অচল,,His prosaic description of the trip bored everyone.,"humdrum, mundane, insipid, vapid, banal, hackneyed, trite, unembellished, monotonous, cliche, platitude"
5,Set 05,Remedial,প্রতিকারমূলক / অবস্থা ভাল করা,RE MEDIcAL,,The struggling students attended a remedial math class.,"bettering, curative"
5,Set 05,Restive,অস্থির,festive মুডের কারণে RESTIVE থাকা,,The restive crowd began to shout for refunds.,"restless, fidgety, apprehensive, nervy, jittery, agitated, impatient"
5,Set 05,Sporadic,বিক্ষিপ্ত / Irregular,opposite of PeRioDIC,,There was sporadic rain throughout the afternoon.,"fitful, desultory, erratic"
5,Set 05,Stigmatize,কলঙ্কিত করা,stick to GMAT,,Society should not stigmatize people with mental illness.,"condemn, disparage, vilify, pillory, defame"
